loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade
10000,10000,10000,36 months,6.49,306.45,A,A2
18300,18300,18300,60 months,16.59,450.78,D,D2
11550,11550,11550,36 months,18.99,423.32,E,E1
14000,14000,14000,36 months,6.99,432.22,A,A3
9000,9000,9000,36 months,7.91,281.66,A,A5
8000,8000,8000,36 months,10.78,261.08,B,B4
11000,11000,11000,36 months,7.91,344.25,A,A5
11200,11200,11200,36 months,5.32,337.29,A,A1
21000,21000,21000,60 months,13.44,482.56,C,C3
35000,35000,35000,36 months,11.99,1162.34,C,C1
20000,20000,20000,36 months,13.44,678.13,C,C3
24000,24000,24000,36 months,6.49,735.47,A,A2
19800,19800,19800,36 months,11.99,657.55,C,C1
30000,30000,30000,36 months,12.88,1009.09,C,C2
28000,28000,28000,36 months,5.32,843.22,A,A1
13475,13475,13475,60 months,16.59,331.93,D,D2
27300,27300,27300,60 months,17.97,692.8,D,D4
10000,10000,10000,60 months,13.99,232.64,C,C4
24000,24000,24000,60 months,12.88,544.61,C,C2
1450,1450,1450,36 months,9.17,46.23,B,B2
4000,4000,4000,36 months,9.8,128.7,B,B3
1000,1000,1000,36 months,11.48,32.97,B,B5
24950,24950,24950,36 months,10.78,814.24,B,B4
25000,25000,25000,36 months,5.32,752.87,A,A1
6000,6000,6000,36 months,7.91,187.77,A,A5
21000,21000,21000,36 months,9.17,669.46,B,B2
2950,2950,2950,36 months,11.99,97.97,C,C1
33100,33100,33100,60 months,24.24,956.84,F,F3
6000,6000,6000,36 months,17.27,214.73,D,D3
14400,14400,14400,60 months,19.89,380.64,E,E3
10500,10500,10500,60 months,17.97,266.46,D,D4
12000,12000,12000,36 months,11.99,398.52,C,C1
20000,20000,20000,36 months,6.99,617.46,A,A3
10000,10000,10000,36 months,19.48,369,E,E2
35000,35000,35000,60 months,19.48,917.19,E,E2
9525,9525,9525,36 months,13.99,325.5,C,C4
20000,20000,20000,36 months,5.32,602.3,A,A1
14450,14450,14450,36 months,11.48,476.37,B,B5
21600,21600,21600,36 months,6.99,666.85,A,A3
12600,12600,12600,36 months,6.99,389,A,A3
35000,35000,35000,60 months,15.77,846.87,D,D1
14800,14800,14800,36 months,15.77,518.65,D,D1
20000,20000,20000,36 months,13.44,678.13,C,C3
9600,9600,9600,36 months,11.48,316.48,B,B5
11900,11900,11900,36 months,17.97,430.04,D,D4
20800,20800,20800,60 months,18.99,539.45,E,E1
30000,30000,30000,36 months,10.78,979.04,B,B4
12000,12000,12000,36 months,9.8,386.09,B,B3
5000,5000,5000,36 months,11.48,164.84,B,B5
15000,15000,15000,60 months,17.97,380.66,D,D4
18900,18900,18900,36 months,12.88,635.73,C,C2
5000,5000,5000,36 months,7.91,156.48,A,A5
19850,19850,19850,36 months,10.78,647.8,B,B4
8000,8000,8000,36 months,13.99,273.39,C,C4
20000,20000,20000,60 months,16.59,492.66,D,D2
20000,20000,20000,60 months,13.99,465.27,C,C4
18000,18000,18000,60 months,19.89,475.79,E,E3
28000,28000,28000,60 months,22.45,780.52,F,F1
12000,12000,12000,36 months,13.99,410.08,C,C4
15000,15000,15000,36 months,9.8,482.61,B,B3
30000,30000,30000,36 months,7.49,933.05,A,A4
17000,17000,17000,36 months,5.32,511.96,A,A1
12000,12000,12000,60 months,11.99,266.88,C,C1
15750,15750,15750,36 months,16.59,558.33,D,D2
5000,5000,5000,36 months,10.78,163.18,B,B4
24000,24000,24000,60 months,13.99,558.32,C,C4
15000,15000,15000,36 months,9.17,478.19,B,B2
30000,30000,30000,60 months,13.44,689.37,C,C3
4200,4200,4200,36 months,7.49,130.63,A,A4
24000,24000,24000,60 months,8.49,492.29,B,B1
6025,6025,6025,36 months,11.99,200.09,C,C1
12250,12250,12250,60 months,9.17,255.31,B,B2
14850,14850,14850,60 months,18.49,381.07,D,D5
10000,10000,10000,36 months,6.49,306.45,A,A2
20000,20000,20000,60 months,19.89,528.66,E,E3
10000,10000,10000,36 months,11.48,329.67,B,B5
35000,35000,35000,36 months,12.88,1177.27,C,C2
15000,15000,15000,36 months,12.88,504.55,C,C2
5000,5000,5000,36 months,11.99,166.05,C,C1
11000,11000,11000,36 months,13.99,375.91,C,C4
5500,5500,5500,36 months,15.77,192.74,D,D1
2500,2500,2500,36 months,11.99,83.03,C,C1
21150,21150,21150,36 months,15.77,741.18,D,D1
20000,20000,20000,36 months,11.48,659.33,B,B5
5875,5875,5875,36 months,11.48,193.68,B,B5
24000,24000,24000,36 months,7.49,746.44,A,A4
12000,12000,12000,36 months,9.8,386.09,B,B3
19200,19200,19200,60 months,18.99,497.96,E,E1
8000,8000,8000,36 months,13.99,273.39,C,C4
35000,35000,35000,60 months,19.89,925.15,E,E3
28000,28000,28000,36 months,15.77,981.23,D,D1
13500,13500,13500,36 months,10.78,440.57,B,B4
27825,27825,27825,60 months,14.85,659.77,C,C5
11000,11000,11000,36 months,8.49,347.2,B,B1
15000,15000,15000,36 months,10.78,489.52,B,B4
20000,20000,20000,36 months,9.8,643.47,B,B3
28000,28000,28000,60 months,14.85,663.92,C,C5
35000,35000,35000,36 months,9.8,1126.07,B,B3
24000,24000,24000,60 months,15.77,580.71,D,D1
10000,10000,10000,60 months,22.45,278.76,F,F1
35000,35000,35000,60 months,11.48,769.39,B,B5
25000,25000,25000,60 months,19.89,660.82,E,E3
10000,10000,10000,60 months,11.48,219.83,B,B5
9000,9000,9000,36 months,9.17,286.92,B,B2
25000,25000,25000,60 months,18.49,641.52,D,D5
8400,8400,8400,36 months,16.59,297.78,D,D2
20000,20000,20000,36 months,12.88,672.73,C,C2
22500,22500,22500,60 months,7.91,455.26,A,A5
20000,20000,20000,60 months,11.99,444.79,C,C1
20000,20000,20000,36 months,18.49,727.98,D,D5
21000,21000,21000,36 months,11.99,697.41,C,C1
18700,18700,18700,60 months,13.99,435.02,C,C4
35000,35000,35000,60 months,11.99,778.38,C,C1
21000,21000,21000,36 months,6.99,648.33,A,A3
30000,30000,30000,36 months,13.44,1017.19,C,C3
14000,14000,14000,36 months,16.59,496.29,D,D2
30000,30000,30000,60 months,13.44,689.37,C,C3
24000,24000,24000,36 months,5.32,722.76,A,A1
35000,35000,35000,60 months,10.78,757.16,B,B4
35000,35000,35000,60 months,18.99,907.73,E,E1
3225,3225,3225,36 months,20.5,120.68,E,E4
28000,28000,28000,36 months,6.49,858.05,A,A2
7200,7200,7200,36 months,9.17,229.53,B,B2
12000,12000,12000,36 months,9.8,386.09,B,B3
21000,21000,21000,60 months,17.97,532.92,D,D4
35000,35000,35000,60 months,19.48,917.19,E,E2
12000,12000,12000,36 months,5.32,361.38,A,A1
18000,18000,18000,60 months,10.78,389.4,B,B4
5000,5000,5000,36 months,7.91,156.48,A,A5
25000,25000,25000,36 months,13.99,854.32,C,C4
8750,8750,8750,36 months,18.99,320.7,E,E1
6600,6600,6600,36 months,19.48,243.54,E,E2
10000,10000,10000,36 months,9.17,318.79,B,B2
12500,12500,12500,36 months,10.78,407.94,B,B4
26250,26250,26250,60 months,13.99,610.66,C,C4
24000,24000,24000,60 months,12.88,544.61,C,C2
11000,11000,11000,60 months,11.99,244.64,C,C1
15000,15000,15000,36 months,11.48,494.5,B,B5
13750,13750,13750,36 months,16.59,487.43,D,D2
10500,10500,10500,60 months,9.8,222.07,B,B3
35000,35000,35000,60 months,24.24,1011.77,F,F3
7000,7000,7000,36 months,12.88,235.46,C,C2
5600,5600,5600,36 months,9.8,180.18,B,B3
21000,21000,21000,36 months,9.17,669.46,B,B2
15000,15000,15000,36 months,5.32,451.73,A,A1
14725,14725,14725,60 months,14.85,349.15,C,C5
6400,6400,6400,36 months,9.17,204.03,B,B2
8400,8400,8400,36 months,9.8,270.26,B,B3
20000,20000,20000,60 months,15.77,483.93,D,D1
15000,15000,15000,36 months,14.85,518.88,C,C5
28000,28000,28000,60 months,11.99,622.71,C,C1
25000,25000,25000,60 months,9.17,521.03,B,B2
13600,13600,13600,36 months,11.48,448.35,B,B5
18000,18000,18000,36 months,13.99,615.11,C,C4
35000,35000,35000,60 months,18.49,898.13,D,D5
20000,20000,20000,36 months,8.49,631.26,B,B1
20000,20000,20000,36 months,5.32,602.3,A,A1
11075,11075,11075,60 months,26.06,331.99,F,F5
11200,11200,11200,36 months,9.17,357.05,B,B2
25000,25000,25000,36 months,6.49,766.12,A,A2
2500,2500,2500,36 months,7.91,78.24,A,A5
15000,15000,15000,60 months,11.48,329.74,B,B5
16000,16000,16000,36 months,8.49,505.01,B,B1
5600,5600,5600,36 months,13.44,189.88,C,C3
10000,10000,10000,36 months,7.49,311.02,A,A4
3200,3200,3200,36 months,9.8,102.96,B,B3
28000,28000,28000,36 months,5.32,843.22,A,A1
15000,15000,15000,36 months,10.78,489.52,B,B4
21600,21600,21600,36 months,6.99,666.85,A,A3
15000,15000,15000,60 months,8.49,307.68,B,B1
10000,10000,10000,36 months,5.32,301.15,A,A1
24000,24000,24000,60 months,19.48,628.93,E,E2
5000,5000,5000,36 months,9.8,160.87,B,B3
18200,18200,18200,60 months,8.49,373.32,B,B1
12000,12000,12000,36 months,6.49,367.74,A,A2
15175,15175,15175,36 months,17.27,543.08,D,D3
21000,21000,21000,36 months,9.17,669.46,B,B2
7000,7000,7000,36 months,5.32,210.81,A,A1
12000,12000,12000,36 months,7.49,373.22,A,A4
3200,3200,3200,36 months,10.78,104.44,B,B4
7200,7200,7200,36 months,14.85,249.07,C,C5
13200,13200,13200,36 months,12.88,444,C,C2
20000,20000,20000,36 months,12.88,672.73,C,C2
18000,18000,18000,60 months,8.49,369.22,B,B1
18000,18000,18000,36 months,16.59,638.09,D,D2
7500,7500,7500,36 months,15.77,262.83,D,D1
15000,15000,15000,36 months,12.88,504.55,C,C2
2400,2400,2400,36 months,7.49,74.65,A,A4
2000,2000,2000,36 months,13.44,67.82,C,C3
10000,10000,10000,36 months,12.88,336.37,C,C2
30000,30000,30000,60 months,18.49,769.83,D,D5
25000,25000,25000,36 months,7.91,782.38,A,A5
3500,3500,3500,36 months,14.85,121.08,C,C5
11925,11925,11925,36 months,8.49,376.39,B,B1
3000,3000,3000,36 months,6.49,91.94,A,A2
24000,24000,24000,60 months,14.85,569.08,C,C5
13200,13200,13200,36 months,9.17,420.81,B,B2
5000,5000,5000,36 months,12.88,168.19,C,C2
21000,21000,21000,60 months,13.99,488.53,C,C4
9000,9000,9000,36 months,9.8,289.57,B,B3
10000,10000,10000,36 months,9.17,318.79,B,B2
12000,12000,12000,60 months,17.27,299.98,D,D3
1000,1000,1000,36 months,11.99,33.21,C,C1
12000,12000,12000,60 months,13.99,279.16,C,C4
35000,35000,35000,60 months,10.78,757.16,B,B4
24000,24000,24000,36 months,5.32,722.76,A,A1
8500,8500,8500,36 months,9.17,270.98,B,B2
3500,3500,3500,36 months,6.49,107.26,A,A2
16100,16100,16100,36 months,17.27,576.18,D,D3
12000,12000,12000,60 months,8.49,246.15,B,B1
10000,10000,10000,60 months,19.48,262.06,E,E2
6000,6000,6000,36 months,8.49,189.38,B,B1
5000,5000,5000,36 months,6.99,154.37,A,A3
18000,18000,18000,36 months,6.49,551.61,A,A2
1000,1000,1000,36 months,13.99,34.18,C,C4
3850,3850,3850,36 months,13.44,130.54,C,C3
2000,2000,2000,36 months,11.99,66.42,C,C1
20000,20000,20000,60 months,10.78,432.66,B,B4
10175,10175,10175,60 months,19.89,268.96,E,E3
10000,10000,10000,36 months,6.99,308.73,A,A3
20000,20000,20000,60 months,9.8,422.98,B,B3
35000,35000,35000,36 months,10.78,1142.22,B,B4
20000,20000,20000,36 months,12.88,672.73,C,C2
14000,14000,14000,60 months,20.5,374.83,E,E4
20000,20000,20000,36 months,6.49,612.89,A,A2
12250,12250,12250,36 months,14.85,423.76,C,C5
15000,15000,15000,36 months,5.32,451.73,A,A1
10000,10000,10000,36 months,5.32,301.15,A,A1
3600,3600,3600,36 months,10.78,117.49,B,B4
5000,5000,5000,36 months,11.99,166.05,C,C1
35000,35000,35000,60 months,11.99,778.38,C,C1
13000,13000,13000,36 months,12.88,437.28,C,C2
4000,4000,4000,36 months,16.59,141.8,D,D2
22450,22450,22450,60 months,18.99,582.25,E,E1
4800,4800,4800,36 months,11.99,159.41,C,C1
21275,21275,21275,36 months,14.85,735.95,C,C5
15000,15000,15000,36 months,5.32,451.73,A,A1
12000,12000,12000,36 months,12.88,403.64,C,C2
34125,34125,34125,60 months,17.27,853.06,D,D3
9650,9650,9650,36 months,12.88,324.59,C,C2
24000,24000,24000,36 months,9.8,772.17,B,B3
35000,35000,35000,36 months,10.78,1142.22,B,B4
25000,25000,25000,36 months,5.32,752.87,A,A1
9100,9100,9100,36 months,7.91,284.79,A,A5
25000,25000,25000,60 months,14.85,592.79,C,C5
18000,18000,18000,36 months,7.49,559.83,A,A4
10800,10800,10800,36 months,11.48,356.04,B,B5
9600,9600,9600,36 months,9.17,306.04,B,B2
3600,3600,3600,36 months,11.48,118.68,B,B5
12000,12000,12000,60 months,12.88,272.31,C,C2
35000,35000,35000,60 months,11.99,778.38,C,C1
12000,12000,12000,36 months,6.49,367.74,A,A2
18000,18000,18000,36 months,6.99,555.71,A,A3
22925,22925,22925,60 months,16.59,564.71,D,D2
8000,8000,8000,36 months,6.49,245.16,A,A2
7000,7000,7000,36 months,8.49,220.95,B,B1
4500,4500,4500,36 months,9.8,144.79,B,B3
11500,11500,11500,36 months,19.48,424.35,E,E2
18725,18725,18725,60 months,17.97,475.19,D,D4
19500,19500,19500,60 months,19.89,515.44,E,E3
5000,5000,5000,36 months,9.17,159.4,B,B2
5000,5000,5000,36 months,8.49,157.82,B,B1
2800,2800,2800,36 months,17.27,100.21,D,D3
14150,14150,14150,60 months,13.44,325.16,C,C3
12000,12000,12000,36 months,9.8,386.09,B,B3
16075,16075,16075,36 months,12.88,540.71,C,C2
21000,21000,21000,36 months,9.17,669.46,B,B2
20000,20000,20000,36 months,5.32,602.3,A,A1
19200,19200,19200,60 months,9.17,400.15,B,B2
28000,28000,28000,60 months,8.49,574.33,B,B1
15000,15000,15000,36 months,9.8,482.61,B,B3
15000,15000,15000,36 months,17.27,536.81,D,D3
35000,35000,35000,60 months,19.48,917.19,E,E2
24000,24000,24000,36 months,13.99,820.15,C,C4
35000,35000,35000,36 months,15.77,1226.53,D,D1
17125,17125,17125,60 months,27.99,533.1,G,G3
30000,30000,30000,60 months,13.99,697.9,C,C4
8000,8000,8000,36 months,10.78,261.08,B,B4
5000,5000,5000,36 months,9.17,159.4,B,B2
9100,9100,9100,36 months,9.17,290.1,B,B2
1800,1800,1800,36 months,7.49,55.99,A,A4
4850,4850,4850,36 months,7.49,150.85,A,A4
24000,24000,24000,36 months,6.99,740.95,A,A3
8000,8000,8000,36 months,5.32,240.92,A,A1
10000,10000,10000,36 months,9.17,318.79,B,B2
30000,30000,30000,60 months,10.78,648.99,B,B4
9600,9600,9600,36 months,6.49,294.19,A,A2
35000,35000,35000,60 months,19.48,917.19,E,E2
20000,20000,20000,60 months,18.99,518.71,E,E1
10000,10000,10000,36 months,5.32,301.15,A,A1
6000,6000,6000,36 months,5.32,180.69,A,A1
22000,22000,22000,36 months,5.32,662.53,A,A1
28000,28000,28000,60 months,11.99,622.71,C,C1
5000,5000,5000,36 months,7.91,156.48,A,A5
12500,12500,12500,60 months,9.17,260.52,B,B2
18000,18000,18000,36 months,5.32,542.07,A,A1
10000,10000,10000,36 months,5.32,301.15,A,A1
11200,11200,11200,36 months,11.99,371.95,C,C1
2150,2150,2150,36 months,17.27,76.95,D,D3
9000,9000,9000,36 months,12.88,302.73,C,C2
12500,12500,12500,36 months,7.49,388.78,A,A4
6000,6000,6000,36 months,5.32,180.69,A,A1
20000,20000,20000,36 months,14.85,691.84,C,C5
21000,21000,21000,60 months,16.59,517.29,D,D2
35000,35000,35000,60 months,11.99,778.38,C,C1
30000,30000,30000,60 months,16.59,738.98,D,D2
6000,6000,6000,36 months,8.49,189.38,B,B1
28000,28000,28000,36 months,7.91,876.26,A,A5
6000,6000,6000,36 months,11.99,199.26,C,C1
15000,15000,15000,60 months,13.44,344.69,C,C3
14000,14000,14000,60 months,9.17,291.78,B,B2
15000,15000,15000,60 months,11.99,333.6,C,C1
30800,30800,30800,60 months,17.97,781.62,D,D4
12000,12000,12000,36 months,10.78,391.62,B,B4
2000,2000,2000,36 months,12.88,67.28,C,C2
4275,4275,4275,36 months,17.27,153,D,D3
6000,6000,6000,36 months,5.32,180.69,A,A1
18000,18000,18000,36 months,7.91,563.31,A,A5
25000,25000,25000,36 months,11.99,830.24,C,C1
6000,6000,6000,36 months,9.8,193.05,B,B3
9900,9900,9900,36 months,9.17,315.61,B,B2
35000,35000,35000,36 months,7.49,1088.56,A,A4
18250,18250,18250,60 months,19.89,482.4,E,E3
12000,12000,12000,36 months,5.32,361.38,A,A1
30000,30000,30000,36 months,12.88,1009.09,C,C2
21000,21000,21000,36 months,9.17,669.46,B,B2
1000,1000,1000,36 months,12.88,33.64,C,C2
3600,3600,3600,36 months,11.99,119.56,C,C1
12000,12000,12000,36 months,11.48,395.6,B,B5
20000,20000,20000,36 months,6.99,617.46,A,A3
15000,15000,15000,36 months,5.32,451.73,A,A1
30000,30000,30000,60 months,15.77,725.89,D,D1
7000,7000,7000,36 months,11.48,230.77,B,B5
30000,30000,30000,36 months,14.85,1037.76,C,C5
2000,2000,2000,36 months,13.44,67.82,C,C3
13000,13000,13000,36 months,10.78,424.26,B,B4
15000,15000,15000,36 months,7.91,469.43,A,A5
17000,17000,17000,36 months,12.88,571.82,C,C2
14000,14000,14000,36 months,6.99,432.22,A,A3
10500,10500,10500,60 months,18.49,269.44,D,D5
15000,15000,15000,60 months,13.44,344.69,C,C3
12600,12600,12600,36 months,7.91,394.32,A,A5
12000,12000,12000,36 months,5.32,361.38,A,A1
28000,28000,28000,60 months,15.77,677.49,D,D1
11750,11750,11750,60 months,28.49,369.33,G,G4
24000,24000,24000,60 months,9.8,507.58,B,B3
8300,8300,8300,36 months,7.91,259.75,A,A5
15000,15000,15000,36 months,7.49,466.53,A,A4
24000,24000,24000,60 months,14.85,569.08,C,C5
8000,8000,8000,36 months,10.78,261.08,B,B4
24000,24000,24000,60 months,18.99,622.45,E,E1
35000,35000,35000,60 months,14.85,829.9,C,C5
12000,12000,12000,36 months,11.48,395.6,B,B5
13050,13050,13050,60 months,26.06,391.19,F,F5
14000,14000,14000,60 months,11.99,311.36,C,C1
8400,8400,8400,36 months,5.32,252.97,A,A1
9600,9600,9600,36 months,9.17,306.04,B,B2
10000,10000,10000,36 months,9.17,318.79,B,B2
1800,1800,1800,36 months,9.17,57.39,B,B2
15000,15000,15000,36 months,12.88,504.55,C,C2
6000,6000,6000,36 months,9.17,191.28,B,B2
10000,10000,10000,36 months,6.49,306.45,A,A2
25000,25000,25000,36 months,5.32,752.87,A,A1
8675,8675,8675,36 months,19.89,321.91,E,E3
14000,14000,14000,36 months,14.85,484.29,C,C5
16000,16000,16000,60 months,12.88,363.07,C,C2
21700,21700,21700,60 months,22.45,604.9,F,F1
2800,2800,2800,36 months,17.97,101.19,D,D4
3600,3600,3600,36 months,6.99,111.15,A,A3
20000,20000,20000,36 months,6.99,617.46,A,A3
30000,30000,30000,60 months,19.48,786.17,E,E2
20000,20000,20000,36 months,7.49,622.04,A,A4
30000,30000,30000,60 months,20.5,803.19,E,E4
10000,10000,10000,36 months,9.8,321.74,B,B3
30000,30000,30000,60 months,13.99,697.9,C,C4
3350,3350,3350,36 months,7.91,104.84,A,A5
12000,12000,12000,60 months,18.99,311.23,E,E1
6000,6000,6000,36 months,7.49,186.61,A,A4
19200,19200,19200,60 months,10.78,415.36,B,B4
12000,12000,12000,60 months,11.48,263.8,B,B5
20000,20000,20000,36 months,6.49,612.89,A,A2
13200,13200,13200,36 months,14.85,456.62,C,C5
35000,35000,35000,36 months,7.91,1095.33,A,A5
14400,14400,14400,36 months,8.49,454.51,B,B1
3000,3000,3000,36 months,11.48,98.9,B,B5
23200,23200,23200,36 months,9.17,739.6,B,B2
18250,18250,18250,36 months,11.48,601.64,B,B5
14000,14000,14000,60 months,19.89,370.06,E,E3
12000,12000,12000,36 months,13.99,410.08,C,C4
3000,3000,3000,36 months,13.44,101.72,C,C3
4000,4000,4000,36 months,7.49,124.41,A,A4
5000,5000,5000,36 months,11.99,166.05,C,C1
12425,12425,12425,60 months,18.99,322.25,E,E1
31325,31325,31325,36 months,15.77,1097.75,D,D1
28000,28000,28000,36 months,6.49,858.05,A,A2
2500,2500,2500,36 months,14.85,86.48,C,C5
24000,24000,24000,60 months,8.49,492.29,B,B1
5000,5000,5000,36 months,8.49,157.82,B,B1
17200,17200,17200,60 months,17.27,429.97,D,D3
15000,15000,15000,60 months,11.48,329.74,B,B5
14400,14400,14400,60 months,11.99,320.25,C,C1
1400,1400,1400,36 months,16.59,49.63,D,D2
8200,8200,8200,36 months,16.59,290.69,D,D2
5400,5400,5400,36 months,5.32,162.62,A,A1
25000,25000,25000,36 months,11.48,824.17,B,B5
20000,20000,20000,36 months,12.88,672.73,C,C2
24000,24000,24000,60 months,9.8,507.58,B,B3
25500,25500,25500,36 months,11.99,846.85,C,C1
13475,13475,13475,36 months,7.91,421.7,A,A5
7200,7200,7200,36 months,8.49,227.26,B,B1
30000,30000,30000,36 months,14.85,1037.76,C,C5
15000,15000,15000,36 months,8.49,473.45,B,B1
21600,21600,21600,60 months,19.48,566.04,E,E2
15000,15000,15000,60 months,11.99,333.6,C,C1
11000,11000,11000,60 months,18.99,285.29,E,E1
6400,6400,6400,36 months,13.44,217.01,C,C3
10000,10000,10000,36 months,8.49,315.63,B,B1
25200,25200,25200,60 months,10.78,545.15,B,B4
5725,5725,5725,36 months,6.99,176.75,A,A3
15000,15000,15000,60 months,16.59,369.49,D,D2
15600,15600,15600,36 months,8.49,492.39,B,B1
11400,11400,11400,60 months,14.85,270.31,C,C5
20000,20000,20000,60 months,17.27,499.96,D,D3
4550,4550,4550,36 months,10.78,148.49,B,B4
11000,11000,11000,36 months,11.48,362.64,B,B5
26825,26825,26825,60 months,18.99,695.71,E,E1
8375,8375,8375,36 months,13.99,286.2,C,C4
25000,25000,25000,36 months,8.49,789.08,B,B1
15000,15000,15000,60 months,19.89,396.5,E,E3
19200,19200,19200,36 months,5.32,578.21,A,A1
16000,16000,16000,36 months,14.85,553.48,C,C5
18000,18000,18000,60 months,20.5,481.92,E,E4
24000,24000,24000,36 months,7.49,746.44,A,A4
12000,12000,12000,36 months,5.32,361.38,A,A1
14400,14400,14400,36 months,9.17,459.06,B,B2
4325,4325,4325,36 months,9.8,139.15,B,B3
7500,7500,7500,36 months,16.59,265.87,D,D2
25000,25000,25000,60 months,10.78,540.83,B,B4
14000,14000,14000,36 months,10.78,456.89,B,B4
13000,13000,13000,60 months,13.99,302.42,C,C4
3525,3525,3525,36 months,11.48,116.21,B,B5
5400,5400,5400,36 months,9.8,173.74,B,B3
24000,24000,24000,60 months,23.13,678.37,F,F2
17000,17000,17000,36 months,6.49,520.96,A,A2
10000,10000,10000,36 months,13.44,339.07,C,C3
35000,35000,35000,60 months,17.97,888.2,D,D4
12000,12000,12000,60 months,8.49,246.15,B,B1
21600,21600,21600,60 months,14.85,512.17,C,C5
4000,4000,4000,36 months,15.77,140.18,D,D1
18000,18000,18000,36 months,5.32,542.07,A,A1
20900,20900,20900,36 months,18.49,760.74,D,D5
20825,20825,20825,60 months,16.59,512.98,D,D2
10175,10175,10175,36 months,9.8,327.37,B,B3
12000,12000,12000,60 months,16.59,295.6,D,D2
20000,20000,20000,60 months,15.77,483.93,D,D1
4000,4000,4000,36 months,9.8,128.7,B,B3
15000,15000,15000,36 months,10.78,489.52,B,B4
16000,16000,16000,60 months,18.49,410.58,D,D5
15500,15500,15500,60 months,8.49,317.94,B,B1
14000,14000,14000,60 months,15.77,338.75,D,D1
4175,4175,4175,36 months,12.88,140.44,C,C2
5000,5000,5000,36 months,11.48,164.84,B,B5
20000,20000,20000,36 months,9.17,637.58,B,B2
30000,30000,30000,36 months,6.99,926.18,A,A3
5500,5500,5500,36 months,11.99,182.66,C,C1
30000,30000,30000,36 months,12.88,1009.09,C,C2
